pathway_group,expected_kos,weight,display_name,description,low_threshold,normal_threshold,high_threshold,health_impact
SCFA_PRODUCTION,"K00929|K01034|K01035|K00016|K01721|K00625|K00626|K00128",1.0,"SCFA Production","Short-chain fatty acid production (butyrate, acetate, propionate)",0.0,0.3,0.7,"Low SCFA leads to inflammation, IBS, low energy"
BILE_ACID_METABOLISM,"K01442|K07095|K07130|K00382|K15868|K15869|K15870|K15871",0.9,"Bile Acid Metabolism","Fat digestion & cholesterol regulation",0.0,0.25,0.6,"Fat malabsorption"
TRYPTOPHAN_SEROTONIN,"K01695|K00287|K00380|K00450|K00451|K00452|K00453|K00454|K00455|K00456|K00457|K00458|K00459|K00460|K00461",1.1,"Tryptophan → Serotonin","Mood & sleep pathway",0.0,0.2,0.5,"Depression & insomnia"
HISTAMINE_DEGRADATION,"K01468|K03366|K00128|K00287|K00380",1.0,"Histamine Degradation","Allergy control",0.0,0.4,0.8,"Histamine intolerance"
LACTOSE_DIGESTION,"K01190|K05349|K01191|K01192|K01193|K01194",0.8,"Lactose Digestion","Dairy sugar breakdown",0.0,0.5,0.9,"Lactose intolerance"
FIBER_FERMENTATION,"K01067|K01209|K05349|K01191|K01192",1.0,"Fiber Fermentation","Fiber degradation",0.0,0.3,0.7,"Poor fiber digestion"
STARCH_DEGRADATION,"K01176|K01207|K01208|K01178",0.8,"Starch Degradation","Starch breakdown",0.0,0.4,0.7,"Carb intolerance"
GLYCOLYSIS,"K00844|K12407|K01803|K01623|K01810|K01689|K00927|K01610|K01834|K00850",1.0,"Glycolysis","Energy production",0.0,0.3,0.7,"Fatigue"
TCA_CYCLE,"K01647|K01681|K00031|K00116|K00115|K00030|K00036|K00026",1.0,"TCA Cycle","Cellular respiration",0.0,0.3,0.7,"Low metabolism"
FATTY_ACID_OXIDATION,"K00249|K00250|K00626|K07513|K00632",0.9,"Fatty Acid Oxidation","Fat burning",0.0,0.3,0.7,"Weight gain"
BIOTIN_BIOSYNTHESIS,"K00833|K01012|K01018|K01019|K00652|K01935",1.0,"Biotin (B7)","Vitamin B7 synthesis",0.0,0.4,0.8,"Hair loss & fatigue"
FOLATE_BIOSYNTHESIS,"K00287|K00945|K00796|K01497",1.0,"Folate (B9)","Vitamin B9 synthesis",0.0,0.4,0.8,"Anemia"
VITAMIN_B12_BIOSYNTHESIS,"K00580|K02232|K02233|K02234|K02235",1.0,"Vitamin B12","Cobalamin synthesis",0.0,0.4,0.8,"Nerve damage"
VITAMIN_K2_BIOSYNTHESIS,"K01663|K00073|K01937|K03183",1.0,"Vitamin K2","Menaquinone synthesis",0.0,0.4,0.8,"Bone weakness"
VITAMIN_B6_BIOSYNTHESIS,"K00831|K03475|K00951",0.9,"Vitamin B6","Pyridoxine synthesis",0.0,0.4,0.8,"Mood imbalance"
AMINO_ACID_SYNTHESIS,"K00287|K00820|K00928|K01655|K01702",1.0,"Amino Acid Synthesis","Essential amino acids",0.0,0.4,0.8,"Muscle loss"
POLYAMINE_SYNTHESIS,"K01468|K00141|K00642",0.8,"Polyamine Synthesis","Cell growth",0.0,0.4,0.8,"Poor healing"
TYROSINE_DOPAMINE,"K00276|K00278|K01754",1.0,"Tyrosine → Dopamine","Focus & motivation",0.0,0.3,0.7,"ADHD-like symptoms"
GABA_PRODUCTION,"K01580|K00013",1.0,"GABA Production","Calming neurotransmitter",0.0,0.3,0.7,"Anxiety"
GLUTAMATE_BALANCE,"K01580|K01755|K00135",0.8,"Glutamate Balance","Neuro balance",0.0,0.3,0.7,"Brain fog"
AMMONIA_DETOX,"K01468|K00128|K00287",0.9,"Ammonia Detox","Liver & gut detox",0.0,0.4,0.8,"Fatigue"
OXALATE_DEGRADATION,"K00278|K00135",0.9,"Oxalate Degradation","Kidney stone risk",0.0,0.4,0.8,"Kidney stones"
ESTROGEN_RECYCLING,"K01195|K01488",1.0,"Estrogen Recycling","Hormone balance",0.0,0.4,0.8,"Hormonal imbalance"
LPS_DETOX,"K02503|K01006",1.0,"LPS Detox","Immune control",0.0,0.4,0.8,"Chronic inflammation"
